id,question,answer,keywords,category,created_at,user_question,confirmation_request,comment
3cf3d7a8,ビザの有効期限と滞在期限の違いは何ですか?,ビザの有効期限はそのビザで認められた目的でいつまでアメリカに「入国」できるかを示します。一方滞在期限はいつまでアメリカに「滞在」できるかを示します。ビザの有効期限が過ぎていても滞在許可が有効であれば、合法的に滞在し続けられますが、一度出国すると滞在許可は失効し、再入国するためには有効なビザが必要になります。,ビザ;有効期限;滞在期限;入国;滞在;出国,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
6c3188ff,滞在期限はどのように決まるのですか?,滞在期限は入国時に入国審査官によって付与されます。パスポートにスタンプが押され、滞在ステータスと滞在期限が記入されます。与えられる滞在期限はビザ種別によって定められる期間とパスポートの有効期間のいずれか短い方までとなります。また入国審査官の判断により、本来許可される期間よりも短くなることもあります。,滞在期限;入国審査官;パスポート;滞在ステータス,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
135df6a7,オーバーステイした場合の影響は何ですか?,オーバーステイが180日を超えると3年間、さらに1年以上になると10年間米国に入国できなくなります。また1年以上不法滞在した後に入国許可などなく再入国しようとした場合、永久に入国禁止になります。オーバーステイすると、入国の際に利用したビザは無効になり、ビザを取り直す必要があります。,オーバーステイ;入国制限;不法滞在;ビザ無効,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
60749a0f,出国後にI-94が回収されなかった場合はどうすればよいですか?,I-94が回収されずに出国した場合は記録上アメリカに滞在したままになり、不法滞在として記録が残る可能性があります。その場合は税関国境警備局に出国した証拠（搭乗券の原本、出国のスタンプ押された パスポートのコピーなど）とともに送付することで、出国記録を更新できます。,I-94;出国;不法滞在;税関国境警備局,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
ac35a827,ビザの有効期間はどのように決まりますか?,ビザの有効期間は国籍によって異なります。例えば日本人のBビザの有効期間は通常10年ですが、ベトナム人は通常1年です。また、ビザの申請を審査する領事の判断によって本来認められている期間より短くなることがあります。国籍によるビザの有効期間は国務省のウェブサイトで確認できます。,ビザ;有効期間;国籍;領事,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
fe534870,H-1Bビザの滞在期限はどのように決まりますか?,H-1Bビザでは入国審査の際に発行される滞在期限は、通常I-797の期限、ビザの残りの有効期限のいずれとも一致します。滞在期間が累積で6年になるまで更新が可能ですが、その後は1年以上の帰国猶予期間を置いてから再申請する必要があります。,H-1Bビザ;滞在期限;I-797;有効期限,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
33337d98,L-1ビザの滞在期限はどのように決まりますか?,L-1Aビザの場合、滞在期間が累積で7年になるまで更新が可能です。L-1Bビザの場合は5年までとなります。ビザの有効期間は通常5年ですが、滞在期限はI-797（Blanket L ビザの場合はI-129S）に準拠して決まります。,L-1Aビザ;L-1Bビザ;滞在期限;I-797;I-129S,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
92139883,J-1ビザの滞在期限はどのように決まりますか?,J-1ビザ（研修ビザ）で入国すると、パスポートにはD/Sと記載されます。これは「Duration of Status」の略で、研修の許可証であるDS-2019が有効である限り、アメリカに合法的に滞在できることを示しています。DS-2019の有効期限が1年後であれば滞在期限も1年後ですが、DS-2019を延長すれば滞在期限も自動的に延長されます。,J-1ビザ;研修ビザ;DS-2019;滞在期限,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
98b35743,E-2投資家ビザの最低投資額はいくらですか?,PDFドキュメントでは、E-2投資家ビザの最低投資額については具体的な金額の記載がありません。ビザの要件や申請手続きの詳細については、公式の情報源を参照する必要があります。,E-2ビザ;投資家ビザ;最低投資額,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
bd4b2956,O-1ビザ申請時の推薦状は何通必要ですか?,PDFドキュメントには、O-1ビザ申請時の推薦状の数については記載がありません。O-1ビザは「特別な能力を有する外国人」を対象としたビザですが、具体的な申請要件については公式の情報を確認する必要があります。,O-1ビザ;推薦状;申請要件,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
76c3fc0d,H-1Bビザの申請に必要な最低学歴要件は何ですか？,H-1Bビザの申請には、通常4年制大学の学士号以上の学位が必要です。ただし、学位がない場合でも、3年間の実務経験が1年間の大学教育に相当するとみなされ、合計12年間の実務経験があれば申請可能な場合があります。,H-1B;学歴要件;学士号;実務経験,AI生成,2025-10-08 23:40:20,[自動生成] 第2章.pdfから生成,0,
8683573e,アメリカビザ面接で聞かれる一般的な質問は何ですか？,面接では以下の質問がよく聞かれます：1)渡米目的、2)滞在期間、3)職歴や学歴、4)家族構成、5)帰国予定、6)経済状況など。回答は簡潔かつ正直に、必要な書類を準備して面接に臨むことが重要です。,面接;質問;準備;書類,AI生成,2025-10-08 23:40:20,[自動生成] 第2章.pdfから生成,0,
f89b7e5a,ESTA申請が拒否された場合はどうすればよいですか？,ESTA申請が拒否された場合、観光ビザ（B-2）または商用ビザ（B-1）を大使館で申請する必要があります。拒否理由を確認し、適切な書類を準備して面接予約を取ってください。ESTA拒否歴がある場合は面接で正直に説明することが重要です。,ESTA;拒否;観光ビザ;B-1;B-2;面接,AI生成,2025-10-08 23:40:20,[自動生成] 第2章.pdfから生成,0,
1f43e23c,アメリカでの滞在期間を延長することは可能ですか？,はい、可能です。滞在期限の45日前までにUSCIS（米国移民局）にForm I-539を提出して延長申請を行います。ただし、ESTA（ビザ免除プログラム）で入国した場合は延長できません。延長が承認されるには正当な理由と十分な資金証明が必要です。,滞在延長;I-539;USCIS;ESTA;資金証明,AI生成,2025-10-08 23:40:20,[自動生成] 第2章.pdfから生成,0,
d5bc3e47,学生ビザ（F-1）から就労ビザ（H-1B）への変更手続きは？,F-1からH-1Bへの変更は「ステータス変更」申請で行います。雇用主がH-1B申請を行い、同時にUSCISにForm I-129とI-539を提出します。OPT期間中に申請することが多く、H-1Bの抽選に当選し承認されれば、アメリカを出国することなくステータス変更が可能です。,F-1;H-1B;ステータス変更;I-129;I-539;OPT,AI生成,2025-10-08 23:40:20,[自動生成] 第2章.pdfから生成,0,
ea54a710,B-1/B-2ビザの有効期間と滞在期間の違いは何ですか？,ビザの有効期間は入国可能な期間、滞在期間は実際にアメリカに滞在できる期間です。B-1/B-2ビザは通常10年有効ですが、一回の滞在は最大6ヶ月までです。滞在期間はI-94で確認でき、この期間を超える場合は延長申請が必要です。,B-1;B-2;有効期間;滞在期間;I-94,AI生成,2025-10-08 23:40:20,[自動生成] 第2章.pdfから生成,0,
8db485b7,グリーンカード申請中にアメリカを出国できますか？,グリーンカード申請中の出国は可能ですが、注意が必要です。調整申請（I-485）中の場合、事前許可（Advance Parole）の取得が必要です。許可なく出国すると申請が放棄されたとみなされる場合があります。,グリーンカード;I-485;Advance Parole;出国,AI生成,2025-10-08 23:40:20,[自動生成] 第2章.pdfから生成,0,
ae9424c0,L-1ビザの申請要件と取得までの期間は？,L-1ビザは企業内転勤者向けビザで、海外関連会社で1年以上勤務していることが要件です。L-1Aは管理職・役員向け、L-1Bは専門知識を持つ社員向けです。申請から取得まで通常3-6ヶ月かかります。,L-1;企業内転勤;L-1A;L-1B;専門知識,AI生成,2025-10-08 23:40:20,[自動生成] 第2章.pdfから生成,0,
5061bb3b,E-2投資家ビザの最低投資額はいくらですか？,E-2ビザに法定最低投資額はありませんが、実質的に事業を運営できる「相当額」の投資が必要です。一般的に15-20万ドル以上が目安とされます。投資額は事業の性質や規模により異なり、投資の実質性と継続性が重要です。,E-2;投資家ビザ;投資額;事業運営,AI生成,2025-10-08 23:40:20,[自動生成] 第2章.pdfから生成,0,
a6d28693,O-1ビザ申請時の推薦状は何通必要ですか？,O-1ビザには最低8通の推薦状が推奨されています。業界の専門家、同僚、クライアントからの推薦状が効果的です。推薦者の資格と申請者との関係を明確に示し、具体的な功績や能力について詳述することが重要です。,O-1;推薦状;専門家;功績;能力,AI生成,2025-10-08 23:40:20,[自動生成] 第2章.pdfから生成,0,
